[2025-04-18 19:04:12,441: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-18 19:04:12,441: INFO: data_ingestion: File already exists]
[2025-04-18 19:04:12,529: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-18 19:04:12,530: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-18 19:04:12,531: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:04:12,531: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:04:12,531: INFO: common: created directory at: artifacts]
[2025-04-18 19:04:12,532: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-18 19:04:15,710: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-18 19:04:29,458: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-18 19:04:29,981: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-18 19:04:29,982: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:04:29,983: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:04:29,983: INFO: common: created directory at: artifacts]
[2025-04-18 19:04:29,983: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-18 19:04:30,871: INFO: data_ingestion: file is downloaded]
[2025-04-18 19:04:30,964: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-18 19:04:30,965: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-18 19:04:30,965: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-18 19:04:30,966: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-18 19:04:30,966: INFO: common: created directory at: artifacts]
[2025-04-18 19:04:30,967: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-18 19:04:33,414: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-18 20:02:50,814: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-19 05:39:30,571: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 05:39:30,583: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 05:39:30,585: INFO: common: created directory at: artifacts]
[2025-04-19 05:39:30,587: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 05:40:02,875: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 05:40:02,878: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 05:40:02,880: INFO: common: created directory at: artifacts]
[2025-04-19 05:40:02,882: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 05:41:49,503: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 05:41:49,506: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 05:41:49,508: INFO: common: created directory at: artifacts]
[2025-04-19 05:41:49,509: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 05:42:15,115: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 05:42:15,118: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 05:42:15,119: INFO: common: created directory at: artifacts]
[2025-04-19 05:42:15,121: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 06:49:54,708: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-19 06:50:00,597: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-19 06:50:00,608: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 06:50:00,611: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 06:50:00,611: INFO: common: created directory at: artifacts]
[2025-04-19 06:50:00,612: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-19 06:50:08,950: INFO: data_ingestion: file is downloaded]
[2025-04-19 06:50:09,033: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-19 06:50:09,033: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-19 06:50:09,034: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 06:50:09,035: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 06:50:09,036: INFO: common: created directory at: artifacts]
[2025-04-19 06:50:09,036: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-19 06:50:11,343: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-19 06:50:11,343: INFO: main: stage MODEL TRAINER STAGE initiated]
[2025-04-19 06:50:11,344: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 06:50:11,345: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 06:50:11,345: INFO: common: created directory at: artifacts]
[2025-04-19 06:50:11,345: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 07:02:35,069: INFO: main: Stage MODEL TRAINER STAGE Completed]
[2025-04-19 08:12:33,467: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-19 08:12:39,548: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-19 08:12:39,561: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:12:39,572: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:12:39,572: INFO: common: created directory at: artifacts]
[2025-04-19 08:12:39,573: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-19 08:12:39,573: INFO: data_ingestion: File already exists]
[2025-04-19 08:12:39,668: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-19 08:12:39,668: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-19 08:12:39,669: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:12:39,670: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:12:39,671: INFO: common: created directory at: artifacts]
[2025-04-19 08:12:39,671: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-19 08:12:40,848: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-19 08:12:40,848: INFO: main: stage MODEL TRAINER STAGE initiated]
[2025-04-19 08:12:40,850: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:12:40,851: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:12:40,851: INFO: common: created directory at: artifacts]
[2025-04-19 08:12:40,851: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 08:18:48,645: INFO: main: Stage MODEL TRAINER STAGE Completed]
[2025-04-19 08:42:31,637: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-19 08:42:33,566: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-19 08:42:33,568: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:42:33,570: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:42:33,570: INFO: common: created directory at: artifacts]
[2025-04-19 08:42:33,570: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-19 08:42:33,571: INFO: data_ingestion: File already exists]
[2025-04-19 08:42:33,644: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-19 08:42:33,644: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-19 08:42:33,647: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:42:33,648: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:42:33,649: INFO: common: created directory at: artifacts]
[2025-04-19 08:42:33,649: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-19 08:42:34,722: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-19 08:42:34,722: INFO: main: stage MODEL TRAINER STAGE initiated]
[2025-04-19 08:42:34,723: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:42:34,724: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:42:34,724: INFO: common: created directory at: artifacts]
[2025-04-19 08:42:34,725: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 08:42:39,540: ERROR: main: '>' not supported between instances of 'str' and 'int']
Traceback (most recent call last):
  File "D:\pythonProjects\Agentic_AI\main.py", line 32, in <module>
    model_trainer_pipeline.initiate_model_trainer()
  File "D:\pythonProjects\Agentic_AI\src\textSummerizer\pipeline\stage3_model_trainer.py", line 15, in initiate_model_trainer
    model_trainer_config.train()
  File "D:\pythonProjects\Agentic_AI\src\textSummerizer\components\model_trainer.py", line 22, in train
    trainer_args=TrainingArguments(
                 ^^^^^^^^^^^^^^^^^^
  File "<string>", line 132, in __init__
  File "D:\pythonProjects\Agentic_AI\venv\Lib\site-packages\transformers\training_args.py", line 1640, in __post_init__
    if self.save_strategy == SaveStrategy.STEPS and self.save_steps > 1:
                                                    ^^^^^^^^^^^^^^^^^^^
TypeError: '>' not supported between instances of 'str' and 'int'
[2025-04-19 08:44:58,009: INFO: config: PyTorch version 2.6.0+cu126 available.]
[2025-04-19 08:44:59,612: INFO: main: stage DATA INGESTION STAGE initiated]
[2025-04-19 08:44:59,615: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:44:59,615: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:44:59,616: INFO: common: created directory at: artifacts]
[2025-04-19 08:44:59,616: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-19 08:44:59,616: INFO: data_ingestion: File already exists]
[2025-04-19 08:44:59,684: INFO: main: Stage DATA INGESTION STAGE Completed]
[2025-04-19 08:44:59,685: INFO: main: stage DATA TRANSFORMATION STAGE initiated]
[2025-04-19 08:44:59,686: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:44:59,686: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:44:59,687: INFO: common: created directory at: artifacts]
[2025-04-19 08:44:59,687: INFO: common: created directory at: artifacts/data_transformation]
[2025-04-19 08:45:01,288: INFO: main: Stage DATA TRANSFORMATION STAGE Completed]
[2025-04-19 08:45:01,288: INFO: main: stage MODEL TRAINER STAGE initiated]
[2025-04-19 08:45:01,289: INFO: common: Yaml file config\config.yaml loaded successfully]
[2025-04-19 08:45:01,290: INFO: common: Yaml file params.yaml loaded successfully]
[2025-04-19 08:45:01,290: INFO: common: created directory at: artifacts]
[2025-04-19 08:45:01,291: INFO: common: created directory at: artifacts/model_trainer]
[2025-04-19 08:54:59,354: INFO: main: Stage MODEL TRAINER STAGE Completed]
